Entity,Code,Year,Deaths
Volcanic activity,,1989,0
Volcanic activity,,1990,33
Volcanic activity,,1991,683
Volcanic activity,,1992,1
Volcanic activity,,1993,99
Volcanic activity,,1994,101
Volcanic activity,,1995,0
Volcanic activity,,1996,4
Volcanic activity,,1997,53
Volcanic activity,,1998,0
Volcanic activity,,1999,0
Volcanic activity,,2000,0
Volcanic activity,,2001,0
Volcanic activity,,2002,200
Volcanic activity,,2003,0
Volcanic activity,,2004,2
Volcanic activity,,2005,3
Volcanic activity,,2006,5
Volcanic activity,,2007,11
Volcanic activity,,2008,16
Volcanic activity,,2009,0
Volcanic activity,,2010,323
Volcanic activity,,2011,3
Volcanic activity,,2012,0
Volcanic activity,,2013,0
Volcanic activity,,2014,102
Volcanic activity,,2015,0
Volcanic activity,,2016,0
Volcanic activity,,2017,0
Volcanic activity,,2018,914
Volcanic activity,,2019,21
Volcanic activity,,2020,1
Volcanic activity,,2021,104
Volcanic activity,,2022,6
Volcanic activity,,2023,23
Volcanic activity,,2024,0
Wet mass movement,,1909,53
Wet mass movement,,1910,62
Wet mass movement,,1915,56
Wet mass movement,,1922,100
Wet mass movement,,1923,200
Wet mass movement,,1926,128
Wet mass movement,,1930,40
Wet mass movement,,1931,190
Wet mass movement,,1932,30
Wet mass movement,,1934,500
Wet mass movement,,1936,73
Wet mass movement,,1938,200
Wet mass movement,,1941,5000
Wet mass movement,,1948,525
Wet mass movement,,1949,12000
Wet mass movement,,1950,130
Wet mass movement,,1951,92
Wet mass movement,,1952,28
Wet mass movement,,1954,1086
Wet mass movement,,1955,478
Wet mass movement,,1956,236
Wet mass movement,,1958,52
Wet mass movement,,1959,48
Wet mass movement,,1960,52
Wet mass movement,,1961,166
Wet mass movement,,1962,71
Wet mass movement,,1963,2033
Wet mass movement,,1964,108
Wet mass movement,,1965,230
Wet mass movement,,1966,604
Wet mass movement,,1967,590
Wet mass movement,,1968,1196
Wet mass movement,,1969,18
Wet mass movement,,1970,228
Wet mass movement,,1971,1051
Wet mass movement,,1972,755
Wet mass movement,,1973,3541
Wet mass movement,,1974,904
Wet mass movement,,1975,195
Wet mass movement,,1976,315
Wet mass movement,,1977,40
Wet mass movement,,1978,86
Wet mass movement,,1979,338
Wet mass movement,,1980,300
Wet mass movement,,1981,421
Wet mass movement,,1982,653
Wet mass movement,,1983,1168
Wet mass movement,,1984,228
Wet mass movement,,1985,377
Wet mass movement,,1986,501
Wet mass movement,,1987,1256
Wet mass movement,,1988,952
Wet mass movement,,1989,445
Wet mass movement,,1990,141
Wet mass movement,,1991,728
Wet mass movement,,1992,712
Wet mass movement,,1993,1653
Wet mass movement,,1994,307
Wet mass movement,,1995,1521
Wet mass movement,,1996,1155
Wet mass movement,,1997,801
Wet mass movement,,1998,1141
Wet mass movement,,1999,445
Wet mass movement,,2000,1012
Wet mass movement,,2001,786
Wet mass movement,,2002,1100
Wet mass movement,,2003,616
Wet mass movement,,2004,403
Wet mass movement,,2005,664
Wet mass movement,,2006,1638
Wet mass movement,,2007,271
Wet mass movement,,2008,504
Wet mass movement,,2009,651
Wet mass movement,,2010,3499
Wet mass movement,,2011,309
Wet mass movement,,2012,501
Wet mass movement,,2013,235
Wet mass movement,,2014,960
Wet mass movement,,2015,1006
Wet mass movement,,2016,357
Wet mass movement,,2017,2312
Wet mass movement,,2018,248
Wet mass movement,,2019,744
Wet mass movement,,2020,514
Wet mass movement,,2021,224
Wet mass movement,,2022,403
Wet mass movement,,2023,654
Wet mass movement,,2024,315
Wildfire,,1911,73
Wildfire,,1918,1000
Wildfire,,1922,43
Wildfire,,1929,60
Wildfire,,1939,71
Wildfire,,1944,170
Wildfire,,1947,0
Wildfire,,1949,80
Wildfire,,1956,11
Wildfire,,1965,0
Wildfire,,1966,25
Wildfire,,1967,62
Wildfire,,1968,12
Wildfire,,1969,0
Wildfire,,1970,0
Wildfire,,1973,0
Wildfire,,1976,0
Wildfire,,1977,3
Wildfire,,1978,2
Wildfire,,1979,0
Wildfire,,1980,0
Wildfire,,1981,8
Wildfire,,1982,2
Wildfire,,1983,106
Wildfire,,1984,17
Wildfire,,1985,51
Wildfire,,1986,20
Wildfire,,1987,191
Wildfire,,1989,1
Wildfire,,1990,0
Wildfire,,1991,90
Wildfire,,1992,122
Wildfire,,1993,3
Wildfire,,1994,84
Wildfire,,1995,29
Wildfire,,1996,45
Wildfire,,1997,266
Wildfire,,1998,150
Wildfire,,1999,70
Wildfire,,2000,47
Wildfire,,2001,33
Wildfire,,2002,6
Wildfire,,2003,47
Wildfire,,2004,14
Wildfire,,2005,42
Wildfire,,2006,28
Wildfire,,2007,148
Wildfire,,2008,86
Wildfire,,2009,190
Wildfire,,2010,166
Wildfire,,2011,9
Wildfire,,2012,22
Wildfire,,2013,35
Wildfire,,2014,16
Wildfire,,2015,78
Wildfire,,2016,40
Wildfire,,2017,178
Wildfire,,2018,221
Wildfire,,2019,105
Wildfire,,2020,86
Wildfire,,2021,127
Wildfire,,2022,77
Wildfire,,2023,263
Wildfire,,2024,437
